tree_id,legal_status,species,address,site_order,site_info,caretaker,date,dbh,plot_size,latitude,longitude
99001,DPW Maintained,Lophostemon confertus :: Brisbane Box,2190X North Point St,7.0,Sidewalk: Curb side : Cutout,DPW for City Agency,2011-04-18,,3x3,37.8028510037355,-122.443247276641
253633,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1909 Judah St,1.0,Sidewalk: Curb side : Cutout,Private,2019-05-22,,3x3,37.7613106149039,-122.48261754308001
96059,Permitted Site,Afrocarpus gracilior :: Fern Pine,101 Montcalm St,1.0,Sidewalk: Curb side : Cutout,Private,2011-08-03,,3x3,37.746560384348705,-122.406484424587
37613,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,423 17th Ave,1.0,Sidewalk: Curb side : Cutout,Private,1998-06-26,7.0,,37.779949576589104,-122.47620662242201
64585,Permitted Site,Ginkgo biloba :: Maidenhair Tree,3370 22nd St,1.0,Sidewalk: Curb side : Cutout,Private,1991-10-24,,,37.7552755548974,-122.422574654764
34097,Permitted Site,Prunus serrulata :: Ornamental Cherry,600 Miramar Ave,2.0,Sidewalk: Curb side : Cutout,Private,1997-07-05,,,37.727618034343706,-122.45809832977899
68438,Permitted Site,Prunus cerasifera :: Cherry Plum,184 Edgewood Ave,1.0,Sidewalk: Curb side : Cutout,Private,1993-08-26,,,37.7626121397886,-122.454856769495
68831,Permitted Site,Agonis flexuosa :: Peppermint Willow,118 Flood Ave,1.0,Sidewalk: Curb side : Cutout,Private,1993-11-30,,,37.729979487143,-122.442473182831
36501,Permitted Site,Prunus cerasifera :: Cherry Plum,202 Anderson St,1.0,Sidewalk: Curb side : Cutout,Private,1998-05-18,,,37.740308605683104,-122.41526424770599
32352,Permitted Site,Lophostemon confertus :: Brisbane Box,2180 Bryant St,2.0,Sidewalk: Curb side : Cutout,Private,1996-10-03,,,37.759425492984704,-122.409957725672
18473,DPW Maintained,Magnolia grandiflora 'Saint Mary' :: Saint Mary Magnolia,1255 Potrero Ave,1.0,Sidewalk: Curb side : Cutout,DPW,2013-11-15,3.0,3x3,37.7522854344497,-122.40611476119301
